CONTESTO,FRASE,REF,ORIGINALE,TRADUZIONE AUTOMATICA DEEPL,REF,ACCORDO,,,,,https://github.com/amazon-science/machine-translation-gender-eval/blob/main/data/context/geneval-context-wikiprofessions-2to1-dev.en_de.en#L3
"After Oesch was released from prison in February 1948, he devoted himself to military history, researching and writing extensively on Finnish experiences in World War II. <sep> ",Oesch was also one of the founders and chief editor of a popular magazine on World War II Finnish history.,M,Oesch war auch Mitbegründer und Herausgeber einer berühmten Zeitschrift über Finnlands Geschichte im Zweiten Weltkrieg.,Oesch war auch Mitbegründer und Chefredakteur einer populären Zeitschrift über die finnische Geschichte des Zweiten Weltkriegs.,M,Y,,,,,
"Part of his recording of The Rite of Spring, augmented by a rehearsal recording unobtainable elsewhere, was used by Decca on the company's 1957 stereo demonstration LP, A Journey into Stereo Sound. <sep> ",The conductor's clear and methodical counting of beats is a distinct feature of this rehearsal sequence.,M,Das klare und methodische Zählen des Dirigenten ist ein besonderes Merkmal dieser Probesequenz.,Das klare und methodische Zählen der Takte durch den Dirigenten ist ein besonderes Merkmal dieser Probensequenz.,M,Y,,,,,
A Yonkers Police Department spokesperson said Jadakiss was one of four men sitting in a 2006 Toyota Camry that was parked near the intersection of Nepperhan Avenue and Elm Street in Yonkers at around 5 a.m. Saturday. <sep>,Officers said the vehicle's driver was behaving oddly and said they noticed a strong odor of marijuana while approaching the car.,M,"Die Beamten sagten, der Fahrer des Fahrzeugs habe sich auffällig benommen und sie hätten einen starken Marijuana-Geruch bemerkt, als sie sich dem Auto näherten.","Die Beamten gaben an, dass der Fahrer des Fahrzeugs sich seltsam verhielt und sie einen starken Marihuanageruch wahrnahmen, als sie sich dem Auto näherten.",M,Y,,,,,
"After the World War I he worked as an independent architect in the city of Brno, until 1939. <sep> ",Wiesner was a very active architect in the city between the World Wars.,M,Wiesner war in der Stadt ein sehr erfolgreicher Architekt zwischen den beiden Weltkriegen.,Wiesner war ein sehr aktiver Architekt in der Stadt zwischen den Weltkriegen.,M,Y,,,,,
"The league was led by Gjergj Kastrioti Skanderbeg, and by Lekë Dukagjini following his death. <sep> ",They voted Skanderbeg as their suzerain chief.,M,Sie wählten Skanderbeg zu ihrem obersten Anführer.,Sie wählten Skanderbeg zu ihrem Oberbefehlshaber.,M,Y,,,,,
"Back in Dresden, to make a living, he joined the Reichswehr armed forces in 1932. <sep> ","Harbig, as a professional soldier, continued to participate in track events.",M,Harbig nahm als Berufssoldat weiterhin an Laufwettbewerben teil.,Harbig nahm als Berufssoldat weiterhin an Leichtathletikveranstaltungen teil.,M,Y,,,,,
Tinhead was elated by his success and eager for another heist. <sep> ,"Towards the end of the series, Tinhead worked as a limousine driver.",M,"Zum Ende der Serie hin, arbeitete Tinhead als Limousinenfahrer.",Gegen Ende der Serie arbeitete Tinhead als Limousinenfahrer.,M,Y,,,,,
"Some of the White family's property at Ruthwaite (near Ireby) passed into his hands, which secured Peel a comfortable income. <sep> ","Peel was a farmer by profession, and kept a pack of fox hounds.",M,Peel war von Beruf Landwirt und besaß eine Foxhound-Meute.,Peel war von Beruf Landwirt und hielt sich eine Meute von Fuchsjägern.,M,Y,,,,,
"In 1994, after graduating from San Francisco State University's film school, he started working with Jamie Hyneman at M5 Industries. <sep> ","Belleci worked as a stage manager, running errands and cleaning the shop, but quickly moved up the ranks.",M,"Belleci arbeitete als Bühnenmanager, erledigte Botengänge, reinigte das Geschäft, stieg aber schnell auf.","Belleci arbeitete als Bühnenmanager, erledigte Botengänge und putzte den Laden, stieg aber schnell auf.",M,Y,,,,,
He finished 6th in a thin field and was advised to retire on medical grounds after a heavy crash in the final round. <sep> ,Soper was voted the greatest saloon car driver ever by readers of Motor Sport.,M,Soper wurde von den Lesern der Zeitschrift Motor Sport zum besten Limousinenfahrer aller Zeiten gewählt.,Soper wurde von den Lesern der Zeitschrift Motor Sport zum besten Limousinenfahrer aller Zeiten gewählt.,M,Y,,,,,
"During the clearing of this mud, Amos and his men discovered another area in the caverns that had been blocked for many years, by a large amount of mud. <sep> ","Upon clearing the newly discovered area, the geologist discovered anthodites.",M,Bei der Räumung des neu erschlossenen Bereichs entdeckten Geologen Antoditen.,Bei der Räumung des neu entdeckten Gebiets entdeckte der Geologe Anthoditen.,M,Y,,,,,
"Vladimir Teodorovich Spivakov (Russian: Влади́мир Теодо́рович Спивако́в) (born 12 September 1944 in Ufa), is a leading Soviet and Russian conductor and violinist best known for his work with the Moscow Virtuosi chamber orchestra. <sep> ","At the age of 13, Spivakov was awarded the first prize at the major conductor contest in Moscow.",M,Spiwakow gewann im Alter von 13 Jahren den ersten Preis beim bedeutendsten Dirigentenwettbewerb in Moskau.,Im Alter von 13 Jahren erhielt Spivakov den ersten Preis bei einem großen Dirigentenwettbewerb in Moskau.,M,Y,,,,,
Z guard - also known as the 93 guard is a position where the practitioner locks his feet together and clamps down on the opponents thigh while using their top leg knee to exert pressure into the opponents hip. <sep> ,The more the top player is pressuring into the top leg the tighter they lock the guard onto themselves while exerting more energy than the bottom player.,M,"Je mehr Druck der obere Spieler auf das obere Bein ausübt, desto fester fixiert er den Guard, während er zur selben Zeit mehr Kraft aufbringt, als der untere Spieler.","Je mehr der obere Spieler auf das obere Bein drückt, desto fester schließt er die Deckung auf sich, während er mehr Energie aufwendet als der untere Spieler.",M,Y,,,,,
"Daukantas' education was financed by his uncle, priest Simonas Lopacinskis (died in 1814). <sep> ","When the school was visited by an inspector from Vilnius University in 1808, Daukantas was listed among 16 exemplary second-year students (out of total 68 students).",M,"Als die Einrichtung 1808 von einem Inspektor der Universität Vilnius besucht wurde, wurde Daukantas als einer von 16 beispielhaften Studierenden (von insgesamt 68 Studierenden) des zweiten Semesters vorgestellt.","Als die Schule 1808 von einem Inspektor der Universität Vilnius besucht wurde, wurde Daukantas als einer von 16 vorbildlichen Schülern des zweiten Jahres (von insgesamt 68 Schülern) aufgeführt.",M,Y,,,,,
"The officer was never identified, although Boswell gave a description of him at the time. <sep> ","One SCS officer was convicted in 1983 of beating up suspects on the evidence of a police cadet, who was subsequently ostracised and resigned.",M,"Ein SCS-Beamter wurde 1983 verurteilt, weil ein Polizeianwärter aussagte, dass er Verdächtige verprügelt habe, woraufhin der Polizeianwärter ausgeschlossen wurde und gekündigt hat.","Ein SCS-Offizier wurde 1983 verurteilt, weil er aufgrund der Aussage eines Polizeikadetten Verdächtige verprügelt hatte; er wurde daraufhin geächtet und trat zurück.",M,Y,,,,,
Much of his time was taken up with the problems of bringing the V-bombers into service. <sep> ,Beetham's next appointment was as the Personal Staff Officer to Task Force Commander of Operation Buffalo in 1956.,M,Beethams nächste Ernennung war die zum persönlichen Stabsoffizier des Befehlshabers der Operation Buffalo im Jahr 1956.,Beethams nächste Ernennung war die zum persönlichen Stabsoffizier des Befehlshabers der Operation Buffalo im Jahr 1956.,M,Y,,,,,
"They formed a songwriting duo who produced about forty songs and created Buscaglione's public persona, a humorous tough guy with a penchant for whisky and women. <sep> ","At that time, Chiosso was a university student, while Buscaglione eked out a living as a jazz singer and musician in those clubs.",M,"Damals war Chiosso Student an der Universität, während Buscaglione seinen Lebensunterhalt als Jazz-Sänger und Musiker in diesen Clubs bestritt.","Zu dieser Zeit war Chiosso noch Student, während Buscaglione sich als Jazzsänger und Musiker in diesen Clubs durchschlug.",M,Y,,,,,
He was commissioned as a second lieutenant in the Infantry Branch of the United States Army on 29 September 1911. <sep> ,"Prior to World War I, Gerow served in a series of assignments as a company grade officer in the Infantry.",M,Vor dem Ersten Weltkrieg diente General Gerow in einer Reihe von Einsätzen als Kompanieoffizier bei der Infanterie.,Vor dem Ersten Weltkrieg diente Gerow in einer Reihe von Einsätzen als Kompanieoffizier bei der Infanterie.,M,Y,,,,,
While wrestling on the independent circuit he worked as an accountant during the day. <sep> ,Among these included the IPWA (Independent Pro Wrestling Association) Wohl was originally cast as the manager of a group known as the Rat Pack.,M,"Darunter war die IPWA (Independent Pro Wrestling Association), in der Wohl ursprünglich als Trainer einer Gruppe namens Rat Pack rekrutiert wurde.",Zu diesen gehörte auch die IPWA (Independent Pro Wrestling Association). Wohl war ursprünglich als Manager einer Gruppe namens Rat Pack vorgesehen.,M,Y,,,,,
"On 15 June 2008, Nikopolidis announced his retirement from international football after Euro 2008, claiming that he had made this decision before the tournament started, and also stating that it is about time for a major change in the Greek national squad. <sep> ","After retirement, Nikopolidis became the assistant manager of Olympiacos in 2012.",M,Nach seinem Rücktritt wurde Nikopolidis 2012 Co-Trainer bei Olympiakos.,Nach seiner Pensionierung wurde Nikopolidis 2012 stellvertretender Manager von Olympiacos.,M,Y,,,,,
He also sang in The Work. <sep> ,Hodgkinson is a self-taught musician.,M,Hodgkins ist ein autodidaktischer Musiker.,Hodgkinson ist ein autodidaktischer Musiker.,M,Y,,,,,
"He claims that he was circumvented, which is why he never apologised for his involvement, but he could have resigned, especially after the resignation of foreign minister Adam Rapacki, but did not. <sep> ","Jaruzelski became a candidate member for the Politburo of the Polish United Workers' Party, the chief executive body of the party, obtaining full membership the following year.",M,"Jaruzelski wurde Kandidat für das Politbüro der Polnischen Vereinigten Arbeiterpartei, dem wichtigsten Exekutivorgan der Partei, und erhielt im folgenden Jahr die Vollmitgliedschaft.","Jaruzelski wurde Kandidat für das Politbüro der Polnischen Vereinigten Arbeiterpartei, dem wichtigsten Exekutivorgan der Partei, und erhielt im folgenden Jahr die Vollmitgliedschaft.",M,Y,,,,,
He started writing in the 1960s. <sep> ,Radhakrishnan was the administrative manager and general manager of DC Books and Current Books from 1979 to 2002.,M,Radhakrishnan war von 1979 bis 2002 Verwaltungsleiter und Geschäftsführer von DC Books und Current Books.,Radhakrishnan war von 1979 bis 2002 Verwaltungsleiter und Generaldirektor von DC Books und Current Books.,M,Y,,,,,
It looked like he would soar on for all time. <sep> ,The illusion was helped by the conductor in the orchestra pit who held the penultimate chord.,M,"Die Illusion wurde durch den Dirigenten im Orchestergraben, der den vorletzten Akkord hielt, noch verstärkt.","Die Illusion wurde durch den Dirigenten im Orchestergraben unterstützt, der den vorletzten Akkord hielt.",M,Y,,,,,
"In addition to his artistic work with the Mariinsky, Gergiev has worked in fundraising for such projects as the recently built 1100-seat Mariinsky Hall, and intends to renovate the Mariinsky Theatre completely by 2010. <sep> ","From 1995 to 2008, Gergiev was principal conductor of the Rotterdam Philharmonic Orchestra.",M,Von 1995 bis 2005 war Gergiev Chefdirigent am Philarmonieorchester Rotterdam.,Von 1995 bis 2008 war Gergiev Chefdirigent des Philharmonischen Orchesters Rotterdam.,M,Y,,,,,
He is currently chief executive of the Queensland Resources Council. <sep> ,"Macfarlane was born in Kingaroy, Queensland, and was a farmer and president of the Queensland Graingrowers Association before entering politics.",M,"Macfarlane wurde in Kingaroy in Queensland geboren und war Farmer und Vorsitzender des Getreidebauernverbandes von Queensland, bevor er in die Politik ging.","Macfarlane wurde in Kingaroy, Queensland, geboren und war Landwirt und Präsident der Queensland Graingrowers Association, bevor er in die Politik ging.",M,Y,,,,,
"His family later moved to Nokomis, Illinois, where Bottomley enrolled in grade school and Nokomis High School. <sep> ","Bottomley worked as a coal miner, truck driver, grocery clerk, and railroad clerk.",M,"Bottomley arbeitete als Bergarbeiter, LKW-Fahrer, Lebensmittelverkäufer und Bahnangestellter.","Bottomley arbeitete als Minenarbeiter, Lastwagenfahrer, Lebensmittelhändler und Bahnangestellter.",M,Y,,,,,
"He rather sharply and emotionally criticized his predecessors and opponents, but he treated students warmly, seeing them as like-minded people, communicated informally, took them to exhibitions, to the cinema, to cafes. <sep> ","A successful career was overshadowed by the fact that Zinoviev was in fact restricted to leave, although the scientist was repeatedly invited to foreign events.",M,"Eine erfolgreiche Karriere wurde von der Tatsache überschattet, dass Zinoviev tatsächlich nicht ausreisen durfte, obwohl der Wissenschaftler wiederholt zu Veranstaltungen im Ausland eingeladen wurde.","Eine erfolgreiche Karriere wurde von der Tatsache überschattet, dass Sinowjew faktisch nicht ausreisen durfte, obwohl der Wissenschaftler wiederholt zu ausländischen Veranstaltungen eingeladen wurde.",M,Y,,,,,
"To apease him, Asquith invited Isaacs to join the Cabinet; he was the first attorney general to sit in the Cabinet. <sep> ","As law officer, Isaacs handled many high-profile cases.",M,Als Gesetzeshüter befasste sich Isaacs mit vielen spektakulären Fällen.,Als Justizbeamter bearbeitete Isaacs viele hochkarätige Fälle.,M,Y,,,,,
"Bore started his career as an attacking player, playing as a winger or a striker, before being converted into playing at right-back. <sep> ",Bore now works as a Police Officer for Humberside Police.,M,Bore arbeitet jetzt als Polizeibeamter für die Polizei von Humberside.,Bore arbeitet heute als Polizeibeamter bei der Humberside Police.,M,Y,,,,,
"His loyal service earned him the governorships of Izu Province, Kozuke and a number of others in turn, as well as a number of other high government positions. <sep> ","Yorimitsu served as commander of a regiment of the Imperial Guard, and as a secretary in the Ministry of War.",M,Yorimitsu diente als Regimentskommandeur bei der Kaiserlichen Garde und als Kriegsminister.,Yorimitsu diente als Kommandeur eines Regiments der Kaiserlichen Garde und als Sekretär im Kriegsministerium.,M,Y,,,,,
"They never believed they would actually get the musician to appear in the film, but thought putting him in the script would make the studio excited about it. <sep> ","Cusack knew Springsteen socially, and called the musician up and pitched the idea.",M,"Cusack kannte Springsteen und rief den Musiker an, um ihm die Idee zu unterbreiten.","Cusack kannte Springsteen privat und rief den Musiker an, um ihm die Idee vorzuschlagen.",M,Y,,,,,
Hsieh began her law enforcement career after her husband died of cancer. <sep> ,"Hsieh was subsequently assigned to Jingmei Precinct first as deputy chief, and later first division chief.",F,Hsieh wurde danach als stellvertretende Leiterin in den Bezirk Jingmei versetzt und wurde später Abteilungsleiterin.,"Hsieh wurde anschließend dem Bezirk Jingmei zugewiesen, zunächst als stellvertretender Leiter, später als erster Abteilungsleiter.",M,N,,,,,
"He was the son of Eliezer Steinman, the Hebrew author and essayist. <sep> ",Shaham was editor-in-chief of Sifriat Poalim Publishing House.,M,Shaham war Chefredakteur des Verlagshause Sifriat Poalim.,Shaham war Chefredakteur des Verlagshauses Sifriat Poalim.,M,Y,,,,,
"In October 2001, Gooch returned to his beloved Essex in the capacity of head coach, taking over from Keith Fletcher. <sep> ","Gooch remains at the club, continuing as the squad's specialist batting coach whilst also assuming commercial duties for the county.",M,"Gooch bleibt dem Verein erhalten und wird weiterhin als spezialisierter Schlagtrainer der Mannschaft fungieren, während er gleichzeitig kommerzielle Aufgaben für den Bezirk übernimmt.","Gooch bleibt dem Verein erhalten und ist weiterhin als Batting-Coach der Mannschaft tätig, übernimmt aber auch kommerzielle Aufgaben für den Bezirk.",M,Y,,,,,
"Albee insisted that he did not want to be known as a gay writer, saying in his acceptance speech for the 2011 Lambda Literary Foundation's Pioneer Award for Lifetime Achievement: A writer who happens to be gay or lesbian must be able to transcend self. <sep> ",I am a writer who happens to be gay.,M,"Ich bin ein Autor, der zufälligerweise schwul ist.","Ich bin ein Schriftsteller, der zufällig schwul ist.",M,Y,,,,,
"He is generally known as the most prolific guitarist of the 17th century, publishing seven books during his lifetime. <sep> ",Granata was a barber-surgeon by profession.,M,Granata war von Beruf her Bader.,Granata war von Beruf Friseur und Chirurg.,M,Y,,,,,
"Shrikanta, Charitrahin, Devdas, Grihadaha, Dena-Paona and Pather Dabi are among his most popular works. <sep> ",Rajshekhar Basu (1880–1960) was the best-known writer of satiric short story in Bengali literature.,M,Rajshekhar Basu (1880-1960) galt in der bengalischen Literatur als der berühmteste Autor von satirischen Kurzgeschichten.,Rajshekhar Basu (1880-1960) war der bekannteste Autor von satirischen Kurzgeschichten in der bengalischen Literatur.,M,Y,,,,,
"He lives in suburban Chicago, Illinois, with his wife, Susan, and their four sons. <sep> ","A journalist, writer and film producer.",M,"Ein Journalist, Autor und Filmproduzent.","Er war Journalist, Schriftsteller und Filmproduzent.",M,Y,,,,,
"His father belonged to the Century Country Club in Purchase, New York (which was at the time a center for the German Jewish establishment) where he often golfed with William (Billy) Salomon, the son of Percy Salomon, one of the three founding brothers of Salomon Brothers. <sep> ","After several months, Gutfreund became a clerk in the municipal bond department, eventually becoming a trader.",M,Nach mehreren Monaten wurde Gutfreund Sachbearbeiter in der Abteilung für Kommunalobligationen und wurde schließlich Händler.,Nach einigen Monaten wurde Gutfreund Angestellter in der Abteilung für Kommunalobligationen und wurde schließlich Händler.,M,Y,,,,,
"During the Ministries Trial, part of the Nuremberg Trials, he finally appeared as a witness for the prosecution, and portrayed himself as a fighter for democratic freedom of the press. <sep> ","After World War II, Schmidt became a writer.",M,Nach dem zweiten Weltkrieg wurde Schmidt Schriftsteller.,Nach dem Zweiten Weltkrieg wurde Schmidt Schriftsteller.,M,Y,,,,,
"He also wrote comedy sketches for radio and television, as well as several short comedy plays, which he directed and performed worldwide. <sep> ","A movie critic and writer for several years, as well as a publicist for the National Film and Sound Archive, Juddery wrote an e-book guide to movie reviewing for Fabjob Books in 2003.",M,"Juddery, für viele Jahre ein Filmkritiker und Schriftsteller und Publizist für das National Film und Sound Archive, schrieb 2003 für Fabjob Boooks eine E-Book-Anleitung zum Thema Filmkritik.",Juddery war mehrere Jahre lang Filmkritiker und Schriftsteller sowie Publizist für das National Film and Sound Archive. 2003 schrieb er für Fabjob Books einen E-Book-Leitfaden für Filmkritik.,M,Y,,,,,
"In his third season with the program, Gdowski was promoted to offensive coordinator. <sep> ",Gdowski served as their assistant head coach and offensive coordinator for 2003 and 2004.,M,2003 und 2004 fungierte Gdowski als ihr Co-Cheftrainer und Offensive Coordinator.,Gdowski war 2003 und 2004 stellvertretender Cheftrainer und Offensive Coordinator.,M,Y,,,,,
From 1994 to 1996 he was assistant at the Department of Indology and Religious Studies at the University of Tübingen. 1995 followed the habilitation in the field of religious studies and Greek philology. <sep> ,"Since 2001, Auffarth has been Full Professor of Religious Studies with a focus on History and Theologies of Christianity at the University of Bremen.",M,Auffarth ist seit 2001 ordentlicher Professor für Religionswissenschaft an der Universität Bremen mit Schwerpunkt auf Geschichte und Theologien des Christentums.,Seit 2001 ist Auffarth ordentlicher Professor für Religionswissenschaft mit dem Schwerpunkt Geschichte und Theologien des Christentums an der Universität Bremen.,M,Y,,,,,
"Although details of his early life are scant, he lost his father and brother sometime in the Mexican War of Independence and fled to the United States where he became fluent in the English language. <sep> ",Mexía became active in government service as Secretary of State for Tamaulipas and the Tuxpan customs collector.,M,Mexía wurde Staatssekretär für Tamaulipas und Steuereintreiber von Tuxpan.,Mexía war als Staatssekretär für Tamaulipas und als Zolleinnehmer von Tuxpan im Staatsdienst tätig.,M,Y,,,,,
"Lourijsen moved to Amsterdam in 1902 and studied for one year at the Rijksschool voor Kunstnijverheid Amsterdam and continued his studies at the Rijksakademie van beeldende kunsten (1905-1906, 1908-1911) as well as the Haagse Academie van Beeldende Kunsten (1906-1907) He was a pupil and friend of Jan Toorop. <sep> ",Lourijsen was an active portrait painter and draftsman and also served from 1912 onwards as a lecturer at the Ignatiuscollege in Amsterdam.,M,Lourijsen war ein aktiver Porträtmaler und Zeichner und war ab 1912 auch als Dozent am Ignatiuscollege in Amsterdam tätig.,Lourijsen war ein aktiver Porträtmaler und Zeichner und wirkte ab 1912 auch als Dozent am Ignatiuscollege in Amsterdam.,M,Y,,,,,
"Later he paints flat, angular folds, and in the end he is able to convey the impression of supple, flowing garments. <sep> ",The groups of figures which the Amasis Painter shows were carefully drawn and symmetrically composed.,M,"Die Figurengruppen, die der Amasis-Maler darstellt, wurden sorgfältig gezeichnet und symmetrisch komponiert.","Die Figurengruppen, die der Amasis-Maler zeigt, sind sorgfältig gezeichnet und symmetrisch komponiert.",M,Y,,,,,
"Wrenfordsley qualified as a solicitor, became a journeyman lawyer in Dublin and at the English Bar, called to the bar on 30 April 1863, he was junior counsel for the Privy Council office in House of Commons inquiries into the foreign cattle market. <sep> ",Wrenfordsley later joined the colonial service and was appointed as a puisne judge at Mauritius in 1877.,M,Wrenfordsley trat später in den Kolonialdienst ein und wurde 1877 Pusine-Richter auf Mauritius.,Wrenfordsley trat später in den Kolonialdienst ein und wurde 1877 zum Puisne-Richter auf Mauritius ernannt.,M,Y,,,,,
He then studied astronomy in Göttingen and Königsberg. <sep> ,"From 1832 to 1849, Steinheil was professor for mathematics and physics at the University of Munich.",M,Von 1832 bis 1849 war Steinheil Professor für Mathematik und Physik an der Universität von München.,Von 1832 bis 1849 war Steinheil Professor für Mathematik und Physik an der Universität München.,M,Y,,,,,
"There he launched the Telus Transformation Office to improve workplace culture and the Telus MBA, a customized executive MBA tailored for promising employees at University of Victoria's Peter B. Gustavson School of Business. <sep> ",Pontefract also serves as an adjunct professor at the business school.,M,Pontefract ist außerdem Lehrbeauftragter an der Wirtschaftshochschule.,Pontefract ist auch als außerordentlicher Professor an der Wirtschaftshochschule tätig.,M,Y,,,,,
"In 2010, he served on a blue ribbon panel assembled by NFL Films for the ten-part documentary series called The Top 100: NFL's Greatest Players. <sep> ","From 1998 to 2007, Lahman was an editor or contributor to more than a dozen sports encyclopedias",M,Von 1998 bis 2007 wirkte Lahman als Herausgeber oder Mitarbeiter an mehr als einem Dutzend Sportenzyklopädien mit.,Von 1998 bis 2007 war Lahman Redakteur oder Mitwirkender bei mehr als einem Dutzend Sport-Enzyklopädien.,M,Y,,,,,
"He received his Ph.D. in history from Columbia University in New York, working with David Herbert Donald. <sep> ","McWhiney became a noted specialist on the American Civil War era, as well as southern social and economic history.",M,McWhiney wurde ein angesehener Experte für das Zeitalter des Amerikanischen Bürgerkriegs sowie der Wirtschafts- und Sozialgeschichte der Südstaaten.,McWhiney wurde zu einem anerkannten Spezialisten für die Zeit des Amerikanischen Bürgerkriegs sowie für die Sozial- und Wirtschaftsgeschichte des Südens.,M,Y,,,,,
"When he was transferred to Broadmoor Hospital in 1864, the notes taken on his arrival describe him as apparently sane. <sep>","Oxford continued to be orderly and well-behaved at Broadmoor, working as a wood grainer and painter.",M,Oxford verhielt sich weiterhin ordnungsgemäß und anständig in Broadmoor und arbeitete als Tischler und Maler.,Oxford war weiterhin ordentlich und brav in Broadmoor und arbeitete als Holzbearbeiter und Maler.,M,Y,,,,,
"As a sound designer, his credits include the Star Wars and Indiana Jones film series, Invasion of the Body Snatchers (1978), E.T. the Extra-Terrestrial (1982), WALL-E (2008) and Star Trek (2009). <sep> ",Burtt was also the sound editor for WALL-E and performed the vocalizations of the titular character as well as other robots in the film.,M,"Burt war auch der Tonmeister von WALL-E und führte die Vokalisierung des Charakters durch, der dem Film seinen Namen verlieh, sowie auch der anderen Roboter in dem Film.",Burtt war auch der Sound-Editor für WALL-E und hat die Stimmen der titelgebenden Figur sowie anderer Roboter im Film eingesprochen.,M,Y,,,,,
"On the other hand, a physician may be required to act in the interest of third parties if his patient is a danger to others. <sep> ",Failure to do so may lead to legal action against the physician.,M,Zuwiderhandlung kann zu rechtlichen Schritten gegen den Arzt führen.,Bei Nichtbeachtung kann der Arzt gerichtlich belangt werden.,M,Y,,,,,
"In 1851, he was elected a foreign member of the Royal Swedish Academy of Sciences. <sep> ",Brongniart was an indefatigable investigator and a prolific writer of books and memoirs.,M,Brongniart war ein unermüdlicher Ermittler und produktiver Autor von Büchern und Memoiren.,Brongniart war ein unermüdlicher Ermittler und ein produktiver Autor von Büchern und Memoiren.,M,Y,,,,,
"In Japan, he helped write new building codes and develop new towns. <sep> ",Berkus was also an art collector.,M,Berkus war auch ein Kunstsammler.,Berkus war auch ein Kunstsammler.,M,Y,,,,,
An Einstein-like Professor (representing Gonick's authorial voice) prepares to travel in his time machine to whatever place or era the chapter is about. <sep> ,"The Professor reads a passage from a historical book, which activates the time machine, a literary device.",M,"Der Professor liest eine Passage aus einem historischen Buch vor, dadurch wird die Zeitmaschine, ein literarisches Mittel, in Betrieb gesetzt.","Der Professor liest eine Passage aus einem historischen Buch vor, wodurch die Zeitmaschine, ein literarisches Mittel, in Gang gesetzt wird.",M,Y,,,,,
"In 1971, Cleaver was hired as an assistant professor at the Université de Sherbrooke in Montreal, Quebec where he taught for three years, finished his dissertation, and studied Québécois nationalism. <sep> ","From 1974 to 1976, Cleaver was a visiting assistant professor at the New School for Social Research in the department of economics.",M,Von 1974 bis 1976 war Cleaver ein Assistenz-Gastprofessor an der New School for Social Research an der Wirtschaftsfakultät.,Von 1974 bis 1976 war Cleaver Gastprofessor an der New School for Social Research in der Abteilung für Wirtschaftswissenschaften.,M,Y,,,,,
František and his group retrained on Polish aircraft at Dęblin airbase in Małopolska. <sep> ,"František was made an instructor, flying obsolescent Potez 25, Breguet 19, PWS-26, RWD 8, RWD-14 Czapla and Lublin R-XIII aircraft.",M,"František wurde zum Fluglehrer befördert und flog veraltende Flugzeuge der Typen Potez 25, Breguet 19, PWS-26, RWD 8, RWD-14 Czapla und Lublin R-XIII.","František wurde zum Fluglehrer ernannt und flog die veralteten Flugzeuge Potez 25, Breguet 19, PWS-26, RWD 8, RWD-14 Czapla und Lublin R-XIII.",M,Y,,,,,
"In 1949, he moved to Paris and exhibited work throughout France, Germany and Switzerland.[citation needed] He then moved to Alba, near Avignon, where he remained until 1955. <sep>", Obregón is primarily a painter.,M,Obregón ist in erster Linie Maler.,Obregón ist in erster Linie ein Maler.,M,Y,,,,,
"As a result, McVeigh was suspended from involvement in football for twenty-four months, which (due to back-dating and time served in provisional suspensions) saw him suspended until November 2016. <sep> ",The terms of the suspension meant that McVeigh was unable to continue assistant coaching role during 2016.,M,"Die Dauer der Suspendierung bedeutete für MCVeigh, dass er 2016 nicht weiter als Co-Trainer arbeiten konnte.","Die Bedingungen der Suspendierung bedeuteten, dass McVeigh nicht in der Lage war, seine Rolle als Assistenztrainer im Jahr 2016 fortzusetzen.",M,Y,,,,,
The native of South Dakota worked for the Oregon Department of Transportation from 1919 to 1935 and 1937 until he died in 1946. <sep> ,McCullough also was a professor at Oregon State University.,M,McCullough war auch Professor an der Oregon State University.,McCullough war auch Professor an der Oregon State University.,M,Y,,,,,
A. O. Preus II was the eighth president of the Lutheran Church–Missouri Synod (LCMS) and drew fame for his role in the church schism of the 1970s known as Seminex. <sep> ,A. O. Preus was a politician who served as Minnesota's eighth state auditor and 20th governor.,M,"A.O. Preus war ein Politiker, der als der achte staatliche Auditor und 20. Gouverneur von Minnesota diente.","A. O. Preus war ein Politiker, der als achter Rechnungsprüfer des Staates Minnesota und als zwanzigster Gouverneur diente.",M,Y,,,,,
Taalat was quoted in an interview that he had completed many screenplays and looks forward to directing a feature film in the future. <sep> ,Pursuing a film career is definitely in the works as both writer and director.,M,Eine Filmkarriere als Autor und Regisseur ist mit Sicherheit angedacht.,Die Fortsetzung einer Filmkarriere als Autorin und Regisseurin ist definitiv geplant.,F,N,,,,,
That was why he loved Tolstoy so much. <sep> ,Bunin has often been spoken of as a cold writer.,M,Man sprach oft von Bunin als einem kalten Schriftsteller.,Bunin wurde oft als kalter Schriftsteller bezeichnet.,M,Y,,,,,
"He was interested in computers at a young age; when Stallman was a pre-teen at a summer camp, he read manuals for the IBM 7094. <sep> ",Stallman was also a volunteer laboratory assistant in the biology department at Rockefeller University.,M,Stallmann war außerdem ehrenamtlicher Laborassisten in der Abteilung für Biologie an der Rockefeller University.,Stallman war auch ein freiwilliger Laborassistent in der biologischen Abteilung der Rockefeller University.,M,Y,,,,,
"In 1951 he was recruited as one of the first staff writers to be employed by BBC Television; before he started working for the station, Kneale had never seen any television. <sep> ","Kneale was initially a general-purpose writer, working on adaptations of books and stage plays and even writing material for light entertainment and children's programmes.",M,Kneale war ursprünglich Universalschriftsteller und arbeitete an Adaptionen von Büchern und Bühnenstücken und sogar Material für leichte Unterhaltung und Kindersendungen schrieb.,"Kneale war zunächst ein Universalschriftsteller, der an Adaptionen von Büchern und Bühnenstücken arbeitete und sogar Material für leichte Unterhaltung und Kindersendungen schrieb.",M,Y,,,,,
