CONTESTO,FRASE,REF,ORIGINALE,TRADUZIONE AUTOMATICA GT,REF2,ACCORDO,,DATASET ORIGINALI
"During the Ministries Trial, part of the Nuremberg Trials, he finally appeared as a witness for the prosecution, and portrayed himself as a fighter for democratic freedom of the press. <sep> ","After World War II, Schmidt became a writer.",M,Nach dem zweiten Weltkrieg wurde Schmidt Schriftsteller.,Nach dem Zweiten Weltkrieg wurde Schmidt Schriftsteller.,M,Y,,
"He also wrote comedy sketches for radio and television, as well as several short comedy plays, which he directed and performed worldwide. <sep> ","A movie critic and writer for several years, as well as a publicist for the National Film and Sound Archive, Juddery wrote an e-book guide to movie reviewing for Fabjob Books in 2003.",M,"Juddery, für viele Jahre ein Filmkritiker und Schriftsteller und Publizist für das National Film und Sound Archive, schrieb 2003 für Fabjob Boooks eine E-Book-Anleitung zum Thema Filmkritik.",Juddery war mehrere Jahre lang Filmkritikerin und Autorin sowie Publizistin für das National Film and Sound Archive und schrieb 2003 einen E-Book-Leitfaden zur Filmrezension für Fabjob Books.,F,N,,
"In his third season with the program, Gdowski was promoted to offensive coordinator. <sep> ",Gdowski served as their assistant head coach and offensive coordinator for 2003 and 2004.,M,2003 und 2004 fungierte Gdowski als ihr Co-Cheftrainer und Offensive Coordinator.,Gdowski war 2003 und 2004 ihr stellvertretender Cheftrainer und Offensivkoordinator.,M,Y,,
From 1994 to 1996 he was assistant at the Department of Indology and Religious Studies at the University of Tübingen. 1995 followed the habilitation in the field of religious studies and Greek philology. <sep> ,"Since 2001, Auffarth has been Full Professor of Religious Studies with a focus on History and Theologies of Christianity at the University of Bremen.",M,Auffarth ist seit 2001 ordentlicher Professor für Religionswissenschaft an der Universität Bremen mit Schwerpunkt auf Geschichte und Theologien des Christentums.,Seit 2001 ist Auffarth Ordinarius für Religionswissenschaft mit dem Schwerpunkt Geschichte und Theologien des Christentums an der Universität Bremen.,M,Y,,
"Although details of his early life are scant, he lost his father and brother sometime in the Mexican War of Independence and fled to the United States where he became fluent in the English language. <sep> ",Mexía became active in government service as Secretary of State for Tamaulipas and the Tuxpan customs collector.,M,Mexía wurde Staatssekretär für Tamaulipas und Steuereintreiber von Tuxpan.,Mexía wurde im Staatsdienst als Außenministerin für Tamaulipas und den Zolleintreiber von Tuxpan tätig.,N/D,A,,
"Lourijsen moved to Amsterdam in 1902 and studied for one year at the Rijksschool voor Kunstnijverheid Amsterdam and continued his studies at the Rijksakademie van beeldende kunsten (1905-1906, 1908-1911) as well as the Haagse Academie van Beeldende Kunsten (1906-1907) He was a pupil and friend of Jan Toorop. <sep> ",Lourijsen was an active portrait painter and draftsman and also served from 1912 onwards as a lecturer at the Ignatiuscollege in Amsterdam.,M,Lourijsen war ein aktiver Porträtmaler und Zeichner und war ab 1912 auch als Dozent am Ignatiuscollege in Amsterdam tätig.,Lourijsen war ein aktiver Porträtmaler und Zeichner und ab 1912 auch als Dozent am Ignatiuscollege in Amsterdam tätig.,M,Y,,
"Later he paints flat, angular folds, and in the end he is able to convey the impression of supple, flowing garments. <sep> ",The groups of figures which the Amasis Painter shows were carefully drawn and symmetrically composed.,M,"Die Figurengruppen, die der Amasis-Maler darstellt, wurden sorgfältig gezeichnet und symmetrisch komponiert.","Die Figurengruppen, die der Amasis-Maler zeigt, sind sorgfältig gezeichnet und symmetrisch komponiert.",M,Y,,
"Wrenfordsley qualified as a solicitor, became a journeyman lawyer in Dublin and at the English Bar, called to the bar on 30 April 1863, he was junior counsel for the Privy Council office in House of Commons inquiries into the foreign cattle market. <sep> ",Wrenfordsley later joined the colonial service and was appointed as a puisne judge at Mauritius in 1877.,M,Wrenfordsley trat später in den Kolonialdienst ein und wurde 1877 Pusine-Richter auf Mauritius.,Wrenfordsley trat später in den Kolonialdienst ein und wurde 1877 zum Puisne-Richter auf Mauritius ernannt.,M,Y,,
He then studied astronomy in Göttingen and Königsberg. <sep> ,"From 1832 to 1849, Steinheil was professor for mathematics and physics at the University of Munich.",M,Von 1832 bis 1849 war Steinheil Professor für Mathematik und Physik an der Universität von München.,Von 1832 bis 1849 war Steinheil Professor für Mathematik und Physik an der Universität München.,M,Y,,
"There he launched the Telus Transformation Office to improve workplace culture and the Telus MBA, a customized executive MBA tailored for promising employees at University of Victoria's Peter B. Gustavson School of Business. <sep> ",Pontefract also serves as an adjunct professor at the business school.,M,Pontefract ist außerdem Lehrbeauftragter an der Wirtschaftshochschule.,Pontefract dient auch als außerplanmäßiger Professor an der Business School.,M,Y,,
"In 2010, he served on a blue ribbon panel assembled by NFL Films for the ten-part documentary series called The Top 100: NFL's Greatest Players. <sep> ","From 1998 to 2007, Lahman was an editor or contributor to more than a dozen sports encyclopedias",M,Von 1998 bis 2007 wirkte Lahman als Herausgeber oder Mitarbeiter an mehr als einem Dutzend Sportenzyklopädien mit.,Von 1998 bis 2007 war Lahman Herausgeber oder Mitarbeiter von mehr als einem Dutzend Sportenzyklopädien,M,Y,,
"He received his Ph.D. in history from Columbia University in New York, working with David Herbert Donald. <sep> ","McWhiney became a noted specialist on the American Civil War era, as well as southern social and economic history.",M,McWhiney wurde ein angesehener Experte für das Zeitalter des Amerikanischen Bürgerkriegs sowie der Wirtschafts- und Sozialgeschichte der Südstaaten.,McWhiney wurde ein bekannter Spezialist für die Ära des amerikanischen Bürgerkriegs sowie für die Sozial- und Wirtschaftsgeschichte des Südens.,M,Y,,
"When he was transferred to Broadmoor Hospital in 1864, the notes taken on his arrival describe him as apparently sane. <sep>","Oxford continued to be orderly and well-behaved at Broadmoor, working as a wood grainer and painter.",M,Oxford verhielt sich weiterhin ordnungsgemäß und anständig in Broadmoor und arbeitete als Tischler und Maler.,Oxford war weiterhin ordentlich und brav in Broadmoor und arbeitete als Holzmasierer und Maler.,M,Y,,
"As a sound designer, his credits include the Star Wars and Indiana Jones film series, Invasion of the Body Snatchers (1978), E.T. the Extra-Terrestrial (1982), WALL-E (2008) and Star Trek (2009). <sep> ",Burtt was also the sound editor for WALL-E and performed the vocalizations of the titular character as well as other robots in the film.,M,"Burt war auch der Tonmeister von WALL-E und führte die Vokalisierung des Charakters durch, der dem Film seinen Namen verlieh, sowie auch der anderen Roboter in dem Film.",Burtt war auch der Soundeditor für WALL-E und führte die Vokalisationen der Titelfigur sowie anderer Roboter im Film durch.,M,Y,,
"On the other hand, a physician may be required to act in the interest of third parties if his patient is a danger to others. <sep> ",Failure to do so may lead to legal action against the physician.,M,Zuwiderhandlung kann zu rechtlichen Schritten gegen den Arzt führen.,Andernfalls können rechtliche Schritte gegen den Arzt eingeleitet werden.,M,Y,,
"In 1851, he was elected a foreign member of the Royal Swedish Academy of Sciences. <sep> ",Brongniart was an indefatigable investigator and a prolific writer of books and memoirs.,M,Brongniart war ein unermüdlicher Ermittler und produktiver Autor von Büchern und Memoiren.,Brongniart war ein unermüdlicher Ermittler und ein produktiver Autor von Büchern und Memoiren.,M,Y,,
"In Japan, he helped write new building codes and develop new towns. <sep> ",Berkus was also an art collector.,M,Berkus war auch ein Kunstsammler.,Berkus war auch ein Kunstsammler.,M,Y,,
An Einstein-like Professor (representing Gonick's authorial voice) prepares to travel in his time machine to whatever place or era the chapter is about. <sep> ,"The Professor reads a passage from a historical book, which activates the time machine, a literary device.",M,"Der Professor liest eine Passage aus einem historischen Buch vor, dadurch wird die Zeitmaschine, ein literarisches Mittel, in Betrieb gesetzt.","Der Professor liest eine Passage aus einem historischen Buch vor, wodurch die Zeitmaschine aktiviert wird, ein literarisches Gerät.",M,Y,,
"In 1971, Cleaver was hired as an assistant professor at the Université de Sherbrooke in Montreal, Quebec where he taught for three years, finished his dissertation, and studied Québécois nationalism. <sep> ","From 1974 to 1976, Cleaver was a visiting assistant professor at the New School for Social Research in the department of economics.",M,Von 1974 bis 1976 war Cleaver ein Assistenz-Gastprofessor an der New School for Social Research an der Wirtschaftsfakultät.,Von 1974 bis 1976 war Cleaver Visiting Assistant Professor an der New School for Social Research im Fachbereich Wirtschaftswissenschaften.,N/D,A,,
František and his group retrained on Polish aircraft at Dęblin airbase in Małopolska. <sep> ,"František was made an instructor, flying obsolescent Potez 25, Breguet 19, PWS-26, RWD 8, RWD-14 Czapla and Lublin R-XIII aircraft.",M,"František wurde zum Fluglehrer befördert und flog veraltende Flugzeuge der Typen Potez 25, Breguet 19, PWS-26, RWD 8, RWD-14 Czapla und Lublin R-XIII.","František wurde zum Ausbilder ernannt und flog veraltete Potez 25-, Breguet 19-, PWS-26-, RWD 8-, RWD-14 Czapla- und Lublin R-XIII-Flugzeuge.",M,Y,,
"In 1949, he moved to Paris and exhibited work throughout France, Germany and Switzerland.[citation needed] He then moved to Alba, near Avignon, where he remained until 1955. <sep>", Obregón is primarily a painter.,M,Obregón ist in erster Linie Maler.,Obregón ist in erster Linie Maler.,M,Y,,
"As a result, McVeigh was suspended from involvement in football for twenty-four months, which (due to back-dating and time served in provisional suspensions) saw him suspended until November 2016. <sep> ",The terms of the suspension meant that McVeigh was unable to continue assistant coaching role during 2016.,M,"Die Dauer der Suspendierung bedeutete für MCVeigh, dass er 2016 nicht weiter als Co-Trainer arbeiten konnte.","Die Bedingungen der Suspendierung bedeuteten, dass McVeigh die Rolle des Co-Trainers im Jahr 2016 nicht fortsetzen konnte.",M,Y,,
The native of South Dakota worked for the Oregon Department of Transportation from 1919 to 1935 and 1937 until he died in 1946. <sep> ,McCullough also was a professor at Oregon State University.,M,McCullough war auch Professor an der Oregon State University.,McCullough war auch Professor an der Oregon State University.,M,Y,,
A. O. Preus II was the eighth president of the Lutheran Church–Missouri Synod (LCMS) and drew fame for his role in the church schism of the 1970s known as Seminex. <sep> ,A. O. Preus was a politician who served as Minnesota's eighth state auditor and 20th governor.,M,"A.O. Preus war ein Politiker, der als der achte staatliche Auditor und 20. Gouverneur von Minnesota diente.","A. O. Preus war ein Politiker, der als achter Wirtschaftsprüfer und 20. Gouverneur von Minnesota fungierte.",M,Y,,
Taalat was quoted in an interview that he had completed many screenplays and looks forward to directing a feature film in the future. <sep> ,Pursuing a film career is definitely in the works as both writer and director.,M,Eine Filmkarriere als Autor und Regisseur ist mit Sicherheit angedacht.,Eine Filmkarriere ist sowohl als Autor als auch als Regisseur definitiv in Arbeit.,M,Y,,
That was why he loved Tolstoy so much. <sep> ,Bunin has often been spoken of as a cold writer.,M,Man sprach oft von Bunin als einem kalten Schriftsteller.,Bunin wurde oft als kalter Schriftsteller bezeichnet.,M,Y,,
"He was interested in computers at a young age; when Stallman was a pre-teen at a summer camp, he read manuals for the IBM 7094. <sep> ",Stallman was also a volunteer laboratory assistant in the biology department at Rockefeller University.,M,Stallmann war außerdem ehrenamtlicher Laborassisten in der Abteilung für Biologie an der Rockefeller University.,Stallman war auch ein freiwilliger Laborassistent in der Biologieabteilung der Rockefeller University.,M,Y,,
"In 1951 he was recruited as one of the first staff writers to be employed by BBC Television; before he started working for the station, Kneale had never seen any television. <sep> ","Kneale was initially a general-purpose writer, working on adaptations of books and stage plays and even writing material for light entertainment and children's programmes.",M,Kneale war ursprünglich Universalschriftsteller und arbeitete an Adaptionen von Büchern und Bühnenstücken und sogar Material für leichte Unterhaltung und Kindersendungen schrieb.,"Kneale war ursprünglich ein Allzweckautor, der an Adaptionen von Büchern und Bühnenstücken arbeitete und sogar Material für leichte Unterhaltung und Kinderprogramme schrieb.",M,Y,,
He was educated at Winchester College and Guy's Hospital Medical School. <sep> ,Terrington became a urological surgeon in 1970.,M,Terrington wurde 1970 Chirurg für Urologie.,Terrington wurde 1970 urologischer Chirurg.,M,Y,,
"Aged 34, Sirakov was also picked for UEFA Euro 1996 in England, playing the last of his 78 matches (24 goals) on 13 June, against Romania, after replacing Lyuboslav Penev in a 1–0 win. <sep> ","Immediately after retiring from international play, Sirakov served as assistant to the national team, appearing with it at the 1998 World Cup.",M,Unmittelbar nach seinem Rücktritt vom internationalen Spielbetrieb war Sirakov Assistent der Nationalmannschaft und nahm mit ihr an der Weltmeisterschaft 1998 teil.,Unmittelbar nach seinem Ausscheiden aus dem Länderspiel diente Sirakov als Assistent der Nationalmannschaft und trat mit ihr bei der Weltmeisterschaft 1998 an.,M,Y,,
From 1939 until 1940 he was Vice-Minister of War of the Polish Government in Exile in London. <sep> ,From 1945 until 1973 professor of the Polish University in Exile.,M,Von 1945 bis 1973 Professor an der Polnischen Universität im Exil.,Von 1945 bis 1973 Professor an der Polnischen Exiluniversität.,M,Y,,
The jury of the Grosse Berliner Kunstausstellung (great Berlin art exhibition) disapproved however the exhibition of his paintings. <sep> ,Hendrich then started a job as painter in Amsterdam.,M,Hendrich begann dann als Maler in Amsterdam zu arbeiten.,Hendrich nahm dann eine Stelle als Maler in Amsterdam an.,M,Y,,
"He was responsible for designing and directing the implementation of justice sector reform programmes in developing countries. 2006 saw him appointed by the International Criminal Court (ICC) to lead the investigations into the Darfur genocide, in which 300,000 had allegedly been killed. <sep> ",Faal was later appointed to the position of senior trial lawyer and lead prosecuting counsel for the Darfur cases.,M,Faal wude später zum leitenden Prozessanwalt und Hauptanklagevertreter für die Darfur-Fälle ernannt.,Faal wurde später zum leitenden Prozessanwalt und leitenden Staatsanwalt für die Darfur-Fälle ernannt.,M,Y,,
"In 1913, he created Keeping Up with the Joneses, based on his Nassau County experiences. <sep> ","After retiring from cartooning, Momand became a portrait painter.",M,"Nachdem Momand seine Tätigkeit als Cartoonist aufgegeben hatte, wurde er Porträtmaler.","Nachdem er sich vom Zeichnen von Cartoons zurückgezogen hatte, wurde Momand Porträtmaler.",M,Y,,
"Out of fear of his creation destroying him, Professor Weirdo intended to add just a touch of the aforementioned tincture of tenderness to the mold, but Count Kook bumped the Professor's elbow, resulting in too much of the tincture being added to the mix. <sep> ","Professor Weirdo's nemesis was Professor Fruitcake, another mad scientist who lived in a castle on an opposite hill.",M,"Professor Weirdos Erzfeind war Professor Fruitcake, der ebenfalls ein verrückter Wissenschaftler war und in einem Schloss auf dem gegenüberliegenden Hügel lebte.","Professor Weirdos Erzfeind war Professor Fruitcake, ein weiterer verrückter Wissenschaftler, der in einem Schloss auf einem gegenüberliegenden Hügel lebte.",M,Y,,
"Despite his limited success on the main ATP circuit, Sluiter won 10 ATP Challenger Tour titles during his career. <sep> ","Though a singles specialist, Sluiter was also an occasional doubles player.",M,"Obwohl Sluiter Profi im Einzel war, spielte er gelegentlich im Doppel.","Obwohl Sluiter ein Einzelspezialist war, war er auch ein gelegentlicher Doppelspieler.",M,Y,,
"He continued to write his weekly Slackjaw column for Philadelphia's Welcomat and tried to get the editor of the alternative weekly New York Press, John Strausbaugh, interested in publishing Slackjaw, but the Press did not want to share the column with the Welcomat. <sep> ","Shortly thereafter Knipfel became a receptionist at the paper's offices, and later a full-time columnist and staff writer.",M,Kurz darauf wurde Knipfel Rezeptionist bei dieser Zeitung und arbeitete später dort als Kolumnist und Redakteur in Vollzeit.,Kurz darauf wurde Knipfel Empfangsdame in den Büros der Zeitung und später hauptberuflicher Kolumnist und festangestellter Autor.,N/D,A,,
"He gained notoriety in his early twenties with the publication of his novels, Glamourpuss and Sex Toys of the Gods. <sep> ",McLaughlin worked as a script writer on:,M,McLaughlin wirkte bei folgenden Filmen als Drehbuchautor:,McLaughlin arbeitete als Drehbuchautor an:,M,Y,,
"Behan was a self-educated man whose intellect was such that he numbered many respected thinkers among his friends including the likes of Hugh MacDiarmid the Scots poet with whom he lived for three years, Louis MacNeice who became for a time a writing partner – mostly for the BBC overseas program and H. <sep> ","Behan also found time to work in education, having been identified by the Strathclyde Region education dept as the Writer in residence for the Region's secondary schools.",M,Behan fand auch die Zeit im Bildungsbereich zu arbeiten und wurde von der Bildungsabteilung der Region Strathclyde als der Stadtschreiber für die Sekundarschulen in der Region gewählt.,"Behan fand auch Zeit, um im Bildungswesen zu arbeiten, nachdem er vom Bildungsministerium der Region Strathclyde als Hausautor für die Sekundarschulen der Region ausgewählt worden war.",M,Y,,
Once his mother discovered and read his notes. <sep> ,"Before becoming a writer, Kuznetsov studied ballet and acting, tried painting and music, worked as a carpenter, road builder, concrete worker, helped build the Kakhovka hydroelectric power plant on the Dniper river, and worked on the Irkutsk and Bratsk hydroelectric power plants in Siberia.",M,"Bevor Kusnezow Schriftsteller wurde, studierte er Ballett und Schauspiel, versuchte sich an Malerei und Musik, arbeitete als Zimmermann, Straßenbauer und Betonarbeiter, half beim Bau des Wasserkraftwerks in Kachowka am Dnjepr und arbeitete an den sibirischen Wasserkraftwerken in Irkutsk und Bratsk.","Bevor er Schriftsteller wurde, studierte Kuznetsov Ballett und Schauspiel, versuchte sich in Malerei und Musik, arbeitete als Zimmermann, Straßenbauer, Betonarbeiter, half beim Bau des Wasserkraftwerks Kakhovka am Dnjepr und arbeitete an den Wasserkraftwerken Irkutsk und Bratsk in Sibirien.",M,Y,,
The accused was brought before Sir John Powell at the Assize Court at Hertford on 4 March 1712. <sep> ,The judge was clearly more sceptical than the jury of the evidence presented.,M,Der Richter stand den Beweisen eindeutig skeptischer gegenüber als es die Geschworenen taten.,Der Richter war den vorgelegten Beweisen deutlich skeptischer als die Geschworenen.,M,Y,,
"A week later, he experienced complications which prompted additional surgery to implant a defibrillator. <sep> ","As a writer, Dozois mainly worked in shorter forms.",M,Als Autor verfasste Dozois hauptsächlich kürzere Schriften.,Als Schriftsteller arbeitete Dozois hauptsächlich in kürzeren Formen.,M,Y,,
"Following his football coaching career, he received a medical degree from the University of Maryland School of Medicine in 1907, and entered into medical practice in his hometown of Raleigh. <sep> ","During World War I, McKee achieved the rank of major in the American Expeditionary Forces as a field surgeon with the 1st Gas Regiment.",M,Während des 1. Weltkriegs erlangte McKee as Feldchirurg beim 1st Gas Regiment den Rang eines Majors in den Amerikanischen Expeditionsstreitkräften.,Während des Ersten Weltkriegs erreichte McKee den Rang eines Majors der American Expeditionary Forces als Feldchirurg beim 1st Gas Regiment.,M,Y,,
"She conveyed her suspicions to some of her husband's medical colleagues who, after interviewing him and searching the house, found ample proofs of murder and committed him to an asylum. <sep> ",This article comments that the identity of that incarnate fiend was settled some time ago and that the murderer was a demented physician afflicted with wildly uncontrollable erotic mania.,M,"Aus dem Artikel geht hervor, dass die Identität dieses fleischgewordenen Teufels vor geraumer Zeit geklärt wurde und dass es sich bei dem Mörder um einen wahnsinnigen Arzt handelte, der unter einer weitgehend unkontrollierbaren erotischen Manie litt.","Dieser Artikel kommentiert, dass die Identität dieses inkarnierten Teufels vor einiger Zeit geklärt wurde und dass der Mörder ein wahnsinniger Arzt war, der von einer wilden, unkontrollierbaren erotischen Manie befallen war.",M,Y,,
"He had joined the Nazi Party in 1931; after leaving it in 1932, he rejoined in 1935. <sep> ","After the war, Höcherl from 1948 practised as a lawyer.",M,Nach dem Krieg war Höcherl ab 1948 als Anwalt tätig.,Nach dem Krieg praktizierte Höcherl ab 1948 als Rechtsanwalt.,M,Y,,
"After many attempts to expunge the three hostages, they are captured and sent to a dungeon, wherein Johnny finds Dr Edwards and John Bowman kidnapped by Ziska and his cronies. <sep> ",Ziska had been a great surgeon who went mad and began to perform unorthodox operations.,M,"Ziska war ein großartiger Chirurg gewesen, der wahnsinnig geworden war und damit begann, unkonventionelle Operationen durchzuführen.","Ziska war ein großartiger Chirurg gewesen, der verrückt geworden war und anfing, unorthodoxe Operationen durchzuführen.",M,Y,,
"With regards to Valdezia, Professor H.W.E Ntsanwisi has issued a warning and declaration of war against the central government, he told Pretoria during the 1970s that there will be bloodshed if the central government goes ahead and forcibly remove the people of Valdezia, the threat to forcibly remove the people of Valdezia went on until 1984 when the South African government announced that Valdezia will no longer be removed as originally planned by the central government, rather it will be retained as a detached area of Gazankulu. <sep> ","For more than 18-years, Professor H.W.E Ntsanwisi successfully resisted the forced removal of the people of Valdezia, to this day, the community of Valdezia still enjoy their land rights, which wouldn't be possible today should the central government had gone ahead with forced removal.",M,"Mehr als 18 Jahre lang leistete Professor H.W.E. Ntsanwisi erfolgreich Widerstand gegen die Zwangsumsiedlung der Bevölkerung von Valdezia. Bis heute genießt die Gemeinschaft von Valdezia ihre Landrechte, was heute nicht mehr möglich wäre, wenn die Zentralregierung die Zwangsumsiedlung fortgesetzt hätte.","Mehr als 18 Jahre lang hat sich Professor H.W.E Ntsanwisi erfolgreich gegen die erzwungene Vertreibung der Menschen in Valdezia gewehrt, bis heute genießt die Gemeinde Valdezia immer noch ihre Landrechte, die heute nicht möglich wären, wenn die Zentralregierung vorgegangen wäre erzwungene Entfernung.",M,Y,,
"After his playing days were over, he became the coach of River Plate, where he won several national titles. <sep> ",Passarella held to close friend Américo Gallego as assistant coach.,M,Passarella baute auf seinen engen Freund Américo Gallego als Co-Trainer.,Passarella hielt an seinem engen Freund Américo Gallego als Co-Trainer fest.,M,Y,,
"He has served since 2017 as the Chief Editor for Neuroepidemiology in the journal Frontiers in Neurology, and he was Founding Editor – and is currently the Editor Emeritus – for Emergency Medicine Australasia. <sep> ",Jelinek also has the distinction of being the first Professor of Emergency Medicine in Australasia.,M,Jelinek ist auch der erste Professor der Notfallmedizin aus Australasien.,"Jelinek hat auch die Auszeichnung, der erste Professor für Notfallmedizin in Australasien zu sein.",M,Y,,
"He shut down the organization in 1961, retired to Guadalajara in 1975, and later moved to Southern California in 1980s. <sep> ",Brundage was also a writer and poet closely associated with the Beats.,M,Brundage war auch ein Autor und Poet und hatte enge Verbindungen zu den Beats.,"Brundage war auch ein Schriftsteller und Dichter, der eng mit den Beats verbunden war.",M,Y,,
In 1945 - 1947 he worked in the Leningrad branch of the Institute of Oriental Studies of the USSR Academy of Sciences. <sep> ,Since 1947 - Professor of the Leningrad University .,M,Seit 1947: Professor an der Universität Leningrad.,Seit 1947 - Professor der Leningrader Universität .,M,Y,,
"He was born at Romford, Essex, to Arthur F Chinnery and his wife Dorothy (née Mills). <sep> ",Chinnery was also an artist and painter.,M,Chinnery war auch Künstler und Maler.,Chinnery war auch ein Künstler und Maler.,M,Y,,
"Attorney for New Jersey, he prosecuted many cases involving drug trafficking and organized crime. <sep> ","From 1981 to 1985, Alito was Assistant to U.S.",M,Von 1981 bis 1985 war Alito Assistent in den USA.,Von 1981 bis 1985 war Alito Assistent der U.S.,M,Y,,
"In August 1996, he reported to NASA's Johnson Space Center for NASA astronaut training. <sep> ","Noguchi qualified as a mission specialist after two years, and received training on Russian space systems at Gagarin Cosmonaut Training Center in 1998.",M,Noguchi wurde nach zwei Jahren zum Missionsspezialisten und wurde 1998 im Gagarin-Kosmonautentrainingszentrum in russischer Weltraumtechnik ausgebildet.,Noguchi qualifizierte sich nach zwei Jahren als Missionsspezialist und erhielt 1998 eine Ausbildung zu russischen Weltraumsystemen am Gagarin Cosmonaut Training Center.,M,Y,,
"Truxillo claimed that his firing was because of his radical beliefs and argued, Tenure is based on a vote from my colleagues. <sep> ",Few are in favor of a Chicano professor advocating a Chicano nation state.,M,"Nur wenige sind dafür, dass ein Chicano-Professor für einen Chicano-Nationalstaat eintritt.","Nur wenige sind dafür, dass ein Chicano-Professor einen Chicano-Nationalstaat befürwortet.",M,Y,,
"At the time of his death, Zambara was on the faculty of the New England Conservatory of Music. <sep> ",Zambara often was asked to serve as a judge at district and regional Metropolitan Opera auditions.,M,"Zambara wurde mehrfach eingeladen, als Richter bei Vorsingen der Metropolitan Operaim Bezirk oder der Region zu fungieren.","Zambara wurde oft gebeten, als Juror bei Vorsingen an der Metropolitan Opera auf Bezirks- und Regionalebene zu fungieren.",M,Y,,
A writer who omits things because he does not know them only makes hollow places in his writing.  <sep> ,Hemingway believed a writer could convey an object or concept while writing about something entirely different.,M,"Hemmingway glaubte ein Schriftsteller könne ein Konzept oder einen Gegenstand vermitteln, während er über etwas ganz anderes schrieb.","Hemingway glaubte, ein Schriftsteller könne ein Objekt oder Konzept vermitteln, während er über etwas völlig anderes schrieb.",M,Y,,
The film follows the story of an American master chemist (Jackson) who heads to Britain to sell his formula for a powerful new drug. <sep> ,All does not go as planned and the chemist soon becomes entangled in a web of deceit.,M,Die Angelegenheit verläuft jedoch nicht wie geplant und der Chemiker wird schon bald in ein Netz aus Betrügereien verwickelt.,Nicht alles läuft wie geplant und der Chemiker verstrickt sich bald in ein Netz der Täuschung.,M,Y,,
"In The Empty Child, a hospital doctor named Dr. Constantine says to him, Before this war began, I was a father and a grandfather. <sep> ",But I'm still a doctor.,M,Aber ich bin immer noch ein Arzt.,Aber ich bin immer noch Arzt.,M,Y,,
"On the show, in addition to comedy bits and celebrity guests, Pocher offered to rent himself out to a viewer. <sep> ","For example, Pocher was rented as a babysitter, to pick grapes for wine and as an undertaker's assistant.",M,"Pocher wurde zum Beispiel als Babysitter angeheuert, um Weintrauben zu pflücken und als Gehilfe eines Bestatters.","So wurde Pocher zum Beispiel als Babysitter, zum Weintraubenpflücken und als Bestattungsgehilfe vermietet.",M,Y,,
"Euthymides was a rival of his fellow Athenian Euphronios, and one of his amphorae is additionally marked with the playful taunt hos oudepote Euphronios, words which have been variously interpreted as as never Euphronios [could do], or this wasn't one of Euphronios. <sep> ","Only eight vessels signed by Euthymides survive, six signed as painter, and two as potter.",M,"Nur acht von Euthymides Vasen ist noch erhalten, eins signierte er als ""Maler"" und eins als ""Töpfer"".","Nur acht von Euthymides signierte Gefäße sind erhalten, sechs als Maler und zwei als Töpfer.",M,Y,,
"There he also came into contact with Alfred Tennyson, with whom he laid the foundation of another lifelong friendship. <sep> ","When the training college was abandoned, Palgrave returned to Whitehall in 1855, becoming examiner in the Education Department, and eventually assistant secretary.",M,"Als die Ausbildungsstätte geschlossen wurde, kehrte Palgrave 1855 nach Whitehall zurück und wurde Prüfer beim Bildungsministerium und später stellvertretender Minister.","Als das Training College aufgegeben wurde, kehrte Palgrave 1855 nach Whitehall zurück und wurde Prüfer in der Bildungsabteilung und schließlich stellvertretender Sekretär.",M,Y,,
"Before joining the Ohio State faculty in 1969, he was a research scholar at Moscow State University, and a research associate in comparative law at Harvard Law School. <sep> ",Professor Quigley teaches international law and comparative law.,M,Professor Quigley lehrt internationales Recht und Vergleichende Rechtswissenschaft.,Professor Quigley lehrt Völkerrecht und Rechtsvergleichung.,M,Y,,
"Apart from his academic labours in connection with the history of dogma and of the church, he lived a life of great and varied usefulness as a theologian, a preacher and a citizen; and at his jubilee in 1873, not only the university and town of Basel but also the various churches of Switzerland united to do him honour. <sep> ","Hagenbach was a voluminous author, distinguished as a writer on church history.",M,"Hagenbach war ein voluminöser Autor, etablierter Schriftsteller zum Thema Kirchengeschichte.","Hagenbach war ein umfangreicher Autor, der sich als Autor der Kirchengeschichte hervorgetan hat.",M,Y,,
"They seek out the Egregious Professor of Cruel and Unusual Geography, and find his office but no sign of the professor himself. <sep> ",They then find a magical window in space leading from the professor's bathroom to a tropical island thousands of years in the past.,M,"Daraufhin finden sie ein magisches Fenster im Weltraum, das vom Bad des Professors zu einer tropischen Insel führt, die Tausende von Jahren in der Vergangenheit liegt.","Dann finden sie ein magisches Fenster im Weltraum, das vom Badezimmer des Professors zu einer tausend Jahre alten tropischen Insel führt.",M,Y,,
"Percy T. Heady (1889 – 21 July 1966) was a British trade union official who briefly led his union, and also served on the National Executive Committee of the Labour Party. <sep> ","Heady worked as a railway clerk, and joined the Railway Clerks' Association (RCA) in 1908.",M,Heady arbeitete als Bahnangestellter und trat 1908 der Assoziation für Bahnangestellte bei.,Heady arbeitete als Eisenbahnangestellter und trat 1908 der Railway Clerks' Association (RCA) bei.,M,Y,,
